sta_id,name_ja,name_en
Chofu,調布,Chōfu
Chojamachi,長者町,Chojamachi
Choshi,銚子,Choshi
ChuoDaigakuMeiseiDaigaku,中央大学・明星大学,Chuo-Daigaku-Meisei-Daigaku
ChuoRinkan,中央林間,Chūō-Rinkan
Daimon,大門,Daimon
Daishibashi,大師橋,Daishibashi
Ebina,海老名,Ebina
Ebisu,恵比寿,Ebisu
Edogawabashi,江戸川橋,Edogawabashi
Emi,江見,Emi
Enokido,榎戸,Enokido
Etchujima,越中島,Etchujima
Fuchinobe,淵野辺,Fuchinobe
Fuchuhommachi,府中本町,Fuchuhommachi
Fujisawa,藤沢,Fujisawa
Fujishiro,藤代,Fujishiro
Fukaya,深谷,Fukaya
Fukiage,吹上,Fukiage
Fukutawara,福俵,Fukutawara
Funabashi,船橋,Funabashi
Funabashihoten,船橋法典,Funabashihoten
Funabori,船堀,Funabori
Fusa,布佐,Fusa
Fussa,福生,Fussa
Futaba,双葉,Futaba
Futamatagawa,二俣川,Futamatagawa
Futamatao,二俣尾,Futamatao
Futamatashimmachi,二俣新町,Futamatashimmachi
Futomi,太海,Futomi
Gaiemmae,外苑前,Gaiemmae
Gakushuinshita,学習院下,Gakushuinshita
Ginza,銀座,Ginza
GinzaItchome,銀座一丁目,Ginza-itchome
Gion,祇園,Gion
Goi,五井,Goi
Gokokuji,護国寺,Gokokuji
Gotanda,五反田,Gotanda
GummaFujioka,群馬藤岡,Gumma-Fujioka
Gumyo,求名,Gumyo
Gumyoji,弘明寺,Gumyōji
Gyoda,行田,Gyoda
Gyotoku,行徳,Gyotoku
Hachioji,八王子,Hachioji
Hachiojiminamino,八王子みなみ野,Hachiojiminamino
Haijima,拝島,Haijima
Hakonegasaki,箱根ケ崎,Hakonegasaki
HakoneYumoto,箱根湯本,Haokne-Yumoto
Hakusan,白山,Hakusan
Hamacho,浜町,Hamacho
HamaKanaya,浜金谷,Hama-Kanaya
HamaKawasaki,浜川崎,Hama-Kawasaki
Hamamatsucho,浜松町,Hamamatsucho
Hamano,浜野,Hamano
Hamayoshida,浜吉田,Hamayoshida
Hamura,羽村,Hamura
HanedaAirportTerminal1,羽田空港第1ターミナル,Haneda Airport Terminal 1
HanedaAirportTerminal1and2,羽田空港第1・2ターミナル,Haneda Airport Terminal 1·2
HanedaAirportTerminal2,羽田空港第2ターミナル,Haneda Airport Terminal 2
HanedaAirportTerminal3,羽田空港第3ターミナル,Haneda Airport Terminal 3
Hanno,飯能,Hannō
Hanzomon,半蔵門,Hanzomon
Harajuku,原宿,Harajuku
Haranomachi,原ノ町,Haranomachi
Harataima,原当麻,Harataima
Hashimoto,橋本,Hashimoto
Hasuda,蓮田,Hasuda
Hasune,蓮根,Hasune
Hatchobori,八丁堀,Hatchobori
Hatchonawate,八丁畷,Hatchō-nawate
Hatogaya,鳩ヶ谷,Hatogaya
Hatonosu,鳩ノ巣,Hatonosu
Hatori,羽鳥,Hatori
Hayakawa,早川,Hayakawa
HazawaYokohamaKokudai,羽沢横浜国大,Hazawa-Yokohama-Kokudai
Heiwadai,平和台,Heiwadai
Heiwajima,平和島,Heiwajima
Hemi,逸見,Hemi
Hibiya,日比谷,Hibiya
HigashiAbiko,東我孫子,Higashi-Abiko
HigashiAkiru,東秋留,Higashi-Akiru
HigashiChiba,東千葉,Higashi-Chiba
HigashiFunabashi,東船橋,Higashi-Funabashi
HigashiFussa,東福生,Higashi-Fussa
HigashiGinza,東銀座,Higashi-ginza
HigashiHanno,東飯能,Higashi-Hanno
HigashiIkebukuro,東池袋,Higashi-ikebukuro
HigashiIkebukuroYonchome,東池袋四丁目,Higashi-ikebukuro-yonchome
HigashiJujo,東十条,Higashi-Jujo
HigashiKanagawa,東神奈川,Higashi-Kanagawa
HigashiKawaguchi,東川口,Higashi-Kawaguchi
HigashiKiyokawa,東清川,Higashi-Kiyokawa
HigashiKoenji,東高円寺,Higashi-koenji
HigashiKoganei,東小金井,Higashi-Koganei
HigashiMatsudo,東松戸,Higashi-Matsudo
Higashimonzen,東門前,Higashimonzen
HigashiNakagami,東中神,Higashi-Nakagami
HigashiNakano,東中野,Higashi-nakano
HigashiNihombashi,東日本橋,Higashi-nihombashi
HigashiOguSanchome,東尾久三丁目,Higashi-ogu-sanchome
HigashiOjima,東大島,Higashi-ojima
HigashiOme,東青梅,Higashi-Ome
HigashiOmiya,東大宮,Higashi-Omiya
HigashiShinjuku,東新宿,Higashi-shinjuku
HigashiTokorozawa,東所沢,Higashi-Tokorozawa
HigashiTotsuka,東戸塚,Higashi-Totsuka
HigashiUrawa,東浦和,Higashi-Urawa
HigashiWashinomiya,東鷲宮,Higashi-Washinomiya
HigashiYamata,東山田,Higashi-Yamata
HigashiYokota,東横田,Higashi-Yokota
HigashiZushi,東逗子,Higashi-Zushi
Higata,干潟,Higata
Hikarigaoka,光が丘,Hikarigaoka
Hikawadai,氷川台,Hikawadai
Hinatawada,日向和田,Hinatawada
Hino,日野,Hino
Hinodecho,日ノ出町,Hinodechō
Hirai,平井,Hirai
Hirama,平間,Hirama
Hiranumabashi,平沼橋,Hiranumabashi
Hiratsuka,平塚,Hiratsuka
Hirayama,平山,Hirayama
Hirono,広野,Hirono
HiroO,広尾,Hiro-o
Hisanohama,久ノ浜,Hisanohama
Hitachi,日立,Hitachi
Hitachinoushiku,ひたち野うしく,Hitachinoushiku
HitachiTaga,常陸多賀,Hitachi-Taga
Hiyoshi,日吉,Hiyoshi
HiyoshiHoncho,日吉本町,Hiyoshi-Honcho
Hodogaya,保土ケ谷,Hodogaya
Hodokubo,程久保,Hodokubo
Honancho,方南町,Honancho
HonAtsugi,本厚木,Hon-Atsugi
HonChiba,本千葉,Hon-Chiba
Honda,誉田,Honda
Hongodai,本郷台,Hongodai
HongoSanchome,本郷三丁目,Hongo-sanchome
Honjo,本庄,Honjo
HonjoAzumabashi,本所吾妻橋,Honjo-azumabashi
HonKomagome,本駒込,Hon-komagome
Honno,本納,Honno
Horinouchi,堀ノ内,Horinouchi
Hoshakuji,宝積寺,Hoshakuji
Hoshikawa,星川,Hoshikawa
Hota,保田,Hota
Hoya,保谷,Hōya
Hyuga,日向,Hyuga
Ichigaya,市ケ谷,Ichigaya
Ichikawa,市川,Ichikawa
Ichikawaono,市川大野,Ichikawaono
Ichikawashiohama,市川塩浜,Ichikawashiohama
Ichinoe,一之江,Ichinoe
Idogaya,井土ヶ谷,Idogaya
Iidabashi,飯田橋,Iidabashi
Iigura,飯倉,Iigura
Iioka,飯岡,Iioka
Ikebukuro,池袋,Ikebukuro
Ikusabata,軍畑,Ikusabata
ImbaNihonIdai,印旛日本医大,Inba-Nihon-Idai
Inadazutsumi,稲田堤,Inadazutsumi
Inage,稲毛,Inage
Inagekaigan,稲毛海岸,Inagekaigan
Inaginaganuma,稲城長沼,Inaginaganuma
Inaricho,稲荷町,Inaricho
InzaiMakinohara,印西牧の原,Inzai-Makinohara
Iriya,入谷,Iriya
Isehara,伊勢原,Isehara
IsezakiChojamachi,伊勢佐木長者町,Isezaki-Chojamachi
Ishibashi,石橋,Ishibashi
Ishigamimae,石神前,Ishigamimae
Ishikawacho,石川町,Ishikawacho
Ishioka,石岡,Ishioka
Isogo,磯子,Isogo
Isohara,磯原,Isohara
Itabashi,板橋,Itabashi
Itabashihoncho,板橋本町,Itabashihoncho
ItabashiKuyakushomae,板橋区役所前,Itabashi-kuyakushomae
Itako,潮来,Itako
Ito,伊東,Ito
Iwai,岩井,Iwai
Iwaki,いわき,Iwaki
IwakiOta,磐城太田,Iwaki-Ota
Iwama,岩間,Iwama
Iwamotocho,岩本町,Iwamotocho
Iwane,巌根,Iwane
Iwanuma,岩沼,Iwanuma
Izukogen,伊豆高原,Izu-Kōgen
IzukyuShimoda,伊豆急下田,Izukyū-Shimoda
Izumi,泉,Izumi
IzumiChuo,いずみ中央,Izumi-Chuo
Izumino,いずみ野,Izumino
IzumiTaiikukan,泉体育館,Izumi-Taiikukan
Izumoshi,出雲市,Izumoshi
IzuTaga,伊豆多賀,Izu-Taga
Jichiidai,自治医大,Jichiidai
Jimbocho,神保町,Jimbocho
Jimbohara,神保原,Jimbohara
Jimmuji,神武寺,Jimmuji
Jujo,十条,Jujo
Junikyo,十二橋,Junikyo
Juo,十王,Juo
JVillage,Ｊヴィレッジ,J-Village
Kabe,河辺,Kabe
Kachidoki,勝どき,Kachidoki
Kadosawabashi,門沢橋,Kadosawabashi
Kagawa,香川,Kagawa
Kagetsusojiji,花月総持寺,Kagetsusojiji
Kagohara,籠原,Kagohara
Kagurazaka,神楽坂,Kagurazaka
Kaihimmakuhari,海浜幕張,Kaihimmakuhari
Kairakuen,偕楽園,Kairakuen
Kajiwara,梶原,Kajiwara
Kamakura,鎌倉,Kamakura
Kamasusaka,蒲須坂,Kamasusaka
Kamata,蒲田,Kamata
Kamatori,鎌取,Kamatori
Kameari,亀有,Kameari
Kameido,亀戸,Kameido
KamiHoshikawa,上星川,Kami-Hoshikawa
Kamikitadai,上北台,Kamikitadai
Kamimizo,上溝,Kamimizo
Kaminagaya,上永谷,Kaminagaya
KamiNakazato,上中里,Kami-Nakazato
Kamiooka,上大岡,Kamiōoka
Kamiyacho,神谷町,Kamiyacho
Kamoi,鴨居,Kamoi
Kamonomiya,鴨宮,Kamonomiya
Kanagawa,神奈川,Kanagawa
KanagawaShimmachi,神奈川新町,Kanagawa-shimmachi
Kanamachi,金町,Kanamachi
Kanamecho,要町,Kanamecho
KanazawaBunko,金沢文庫,Kanazawa-bunko
KanazawaHakkei,金沢八景,Kanazawa-hakkei
Kanda,神田,Kanda
Kandatsu,神立,Kandatsu
Kaneko,金子,Kaneko
Kannai,関内,Kannai
Karakida,唐木田,Karakida
Kasahata,笠幡,Kasahata
Kasai,葛西,Kasai
Kasairinkaikoen,葛西臨海公園,Kasairinkaikoen
Kashima,鹿島,Kashima
Kashimada,鹿島田,Kashimada
Kashimajingu,鹿島神宮,Kashimajingu
KashimaSoccerStadium,鹿島サッカースタジアム,Kashima Soccer Stadium
Kashiwa,柏,Kashiwa
Kashiwadai,かしわ台,Kashiwadai
KashiwanohaCampus,柏の葉キャンパス,Kashiwanoha-campus
KashiwaTanaka,柏たなか,Kashiwa-Tanaka
Kasuga,春日,Kasuga
Kasumigaseki,霞ケ関,Kasumigaseki
Katakura,片倉,Katakura
Katakuracho,片倉町,Katakuracho
Kataoka,片岡,Kataoka
Katori,香取,Katori
Katsuta,勝田,Katsuta
Katsuura,勝浦,Katsuura
Kawagoe,川越,Kawagoe
Kawagoeshi,川越市,Kawagoeshi
Kawaguchi,川口,Kawaguchi
Kawaguchiko,河口湖,Kawaguchiko
Kawai,川井,Kawai
Kawasaki,川崎,Kawasaki
Kawasakidaishi,川崎大師,Kawasakidaishi
Kawasakishimmachi,川崎新町,Kawasakishimmachi
Kawawacho,川和町,Kawawacho
Kayabacho,茅場町,Kayabacho
KazusaIchinomiya,上総一ノ宮,Kazusa-Ichinomiya
KazusaKameyama,上総亀山,Kazusa-Kameyama
KazusaKiyokawa,上総清川,Kazusa-Kiyokawa
KazusaMatsuoka,上総松丘,Kazusa-Matsuoka
KazusaMinato,上総湊,Kazusa-Minato
KazusaOkitsu,上総興津,Kazusa-Okitsu
KeikyuHigashikanagawa,京急東神奈川,Keikyū Higashi-kanagawa
KeikyuKamata,京急蒲田,Keikyū Kamata
KeikyuKawasaki,京急川崎,Keikyū Kawasaki
KeikyuKurihama,京急久里浜,Keikyū Kurihama
KeikyuNagasawa,京急長沢,Keikyū Nagasawa
KeikyuOtsu,京急大津,Keikyū Ōtsu
KeikyuShinkoyasu,京急新子安,Keikyū Shinkoyasu
KeikyuTaura,京急田浦,Keikyū Taura
KeikyuTomioka,京急富岡,Keikyū Tomioka
KeikyuTsurumi,京急鶴見,Keikyū Tsurumi
KeioTamaCenter,京王多摩センター,Keiō-Tama-Center
KeiseiNarita,京成成田,Keisei-Narita
KeiseiSakura,京成佐倉,Keisei-Sakura
KeiseiTakasago,京成高砂,Keisei-Takasago
Kemigawahama,検見川浜,Kemigawahama
KenkyuGakuen,研究学園,Kenkyū-gakuen
Kenritsudaigaku,県立大学,Kenritsudaigaku
Kiba,木場,Kiba
Kibogaoka,希望ヶ丘,Kibogaoka
Kichijoji,吉祥寺,Kichijoji
Kido,木戸,Kido
Kikukawa,菊川,Kikukawa
Kikuna,菊名,Kikuna
Kimitsu,君津,Kimitsu
Kinomiya,来宮,Kinomiya
Kinshicho,錦糸町,Kinshicho
Kinugasa,衣笠,Kinugasa
KinugawaOnsen,鬼怒川温泉,Kinugawa-Onsen
Kioroshi,木下,Kioroshi
Kisarazu,木更津,Kisarazu
Kishibojimmae,鬼子母神前,Kishibojinmae
KishineKoen,岸根公園,Kishine-Koen
KitaAgeo,北上尾,Kita-Ageo
KitaAkabane,北赤羽,Kita-Akabane
KitaAsaka,北朝霞,Kita-Asaka
KitaAyase,北綾瀬,Kita-ayase
KitaChigasaki,北茅ケ崎,Kita-Chigasaki
KitaFuchu,北府中,Kita-Fuchu
KitaFujioka,北藤岡,Kita-Fujioka
KitaHachioji,北八王子,Kita-Hachioji
KitaKamakura,北鎌倉,Kita-Kamakura
KitaKashiwa,北柏,Kita-Kashiwa
KitaKasukabe,北春日部,Kita-Kasukabe
KitaKogane,北小金,Kita-Kogane
KitaKonosu,北鴻巣,Kita-Konosu
KitaKoshigaya,北越谷,Kita-Koshigaya
Kitakurihama,北久里浜,Kitakurihama
KitaMatsudo,北松戸,Kita-Matsudo
Kitamoto,北本,Kitamoto
KitaSando,北参道,Kita-sando
KitaSenju,北千住,Kita-senju
Kitashinagawa,北品川,Kitashinagawa
KitaShinYokohama,北新横浜,Kita-Shin-Yokohama
KitaToda,北戸田,Kita-Toda
KitaUrawa,北浦和,Kita-Urawa
KitaYamata,北山田,Kita-Yamata
KitaYono,北与野,Kita-Yono
Kiyose,清瀬,Kiyose
KiyosumiShirakawa,清澄白河,Kiyosumi-shirakawa
Kobayashi,小林,Kobayashi
Kobuchi,古淵,Kobuchi
Kodama,児玉,Kodama
Kodemmacho,小伝馬町,Kodemmacho
Koenji,高円寺,Koenji
Koga,古河,Koga
Koganecho,黄金町,Koganechō
Koganei,小金井,Koganei
Kohoku,湖北,Kohoku
Koiwa,小岩,Koiwa
Kojimachi,麴町,Kojimachi
Kojimashinden,小島新田,Kojimashinden
Kojiya,糀谷,Kojiya
KokkaiGijidomae,国会議事堂前,Kokkai-gijidomae
Kokonoe,九重,Kokonoe
Kokubunji,国分寺,Kokubunji
Kokudo,国道,Kokudo
KokuritsuKyogijo,国立競技場,Kokuritsu-kyogijo
KokusaiTenjijo,国際展示場,Kokusai-tenjijo
Komagamine,駒ケ嶺,Komagamine
Komagawa,高麗川,Komagawa
Komagome,駒込,Komagome
Komiya,小宮,Komiya
KonanChuo,港南中央,Konan-Chuo
Konandai,港南台,Konandai
Konosu,鴻巣,Konosu
Korakuen,後楽園,Korakuen
Kori,古里,Kori
KoshigayaLaketown,越谷レイクタウン,Koshigaya Laketown
Koshinzuka,庚申塚,Koshinzuka
Koshukaido,甲州街道,Koshukaido
KotakeMukaihara,小竹向原,Kotake-mukaihara
Kotesashi,小手指,Kotesashi
Koya,高野,Koya
Koyasu,子安,Koyasu
Kozu,国府津,Kozu
Kozukue,小机,Kozukue
Kudanshita,九段下,Kudanshita
Kuji,久地,Kuji
Kuki,久喜,Kuki
Kumagawa,熊川,Kumagawa
Kumagaya,熊谷,Kumagaya
Kumanomae,熊野前,Kumanomae
Kunitachi,国立,Kunitachi
Kuragano,倉賀野,Kuragano
Kurahashi,倉橋,Kurahashi
Kuramae,蔵前,Kuramae
Kurami,倉見,Kurami
Kurihama,久里浜,Kurihama
Kurihashi,栗橋,Kurihashi
Kuroiso,黒磯,Kuroiso
Kururi,久留里,Kururi
Kusano,草野,Kusano
Kuzumi,久住,Kuzumi
Kyobashi,京橋,Kyobashi
Mabashi,馬橋,Mabashi
Maborikaigan,馬堀海岸,Maborikaigan
Machida,町田,Machida
Machiya,町屋,Machiya
MachiyaEkimae,町屋駅前,Machiya-ekimae
MachiyaNichome,町屋二丁目,Machiya-nichome
Maebashi,前橋,Maebashi
Magome,馬込,Magome
Maihama,舞浜,Maihama
Maioka,舞岡,Maioka
Maita,蒔田,Maita
Makuhari,幕張,Makuhari
Makuharihongo,幕張本郷,Makuharihongo
Makuta,馬来田,Makuta
Mamada,間々田,Mamada
Manazuru,真鶴,Manazuru
Manganji,万願寺,Manganji
Matoba,的場,Matoba
Matsudo,松戸,Matsudo
Matsugaya,松が谷,Matsugaya
Matsugishi,松岸,Matsugishi
Matsuhisa,松久,Matsuhisa
Matsuo,松尾,Matsuo
Meguro,目黒,Meguro
MeijiJingumae,明治神宮前〈原宿〉,Meiji-jingumae<Harajuku>
Mejiro,目白,Mejiro
Midorino,みどりの,Midorino
Mikado,三門,Mikado
Mikawashima,三河島,Mikawashima
MinamiAsagaya,南阿佐ケ谷,Minami-asagaya
MinamiFunabashi,南船橋,Minami-Funabashi
MinamiFuruya,南古谷,Minami-Furuya
MinamiGyotoku,南行徳,Minami-gyotoku
Minamihara,南三原,Minamihara
MinamiHashimoto,南橋本,Minami-Hashimoto
MinamiKashiwa,南柏,Minami-Kashiwa
MinamiKoshigaya,南越谷,Minami-Koshigaya
MinamiKurihashi,南栗橋,Minami-Kurihashi
MinamiMakigahara,南万騎が原,Minami-Makigahara
MinamiNagareyama,南流山,Minami-Nagareyama
MinamiNakago,南中郷,Minami-Nakago
Minamiota,南太田,Minamiōta
MinamiSendai,南仙台,MinamiSendai
MinamiSenju,南千住,Minami-senju
MinamiShisui,南酒々井,Minami-Shisui
MinamiSunamachi,南砂町,Minami-sunamachi
MinamiTama,南多摩,Minami-Tama
MinamiUrawa,南浦和,Minami-Urawa
MinamiYono,南与野,Minami-Yono
Minatocho,港町,Minatochō
Minowa,三ノ輪,Minowa
Minowabashi,三ノ輪橋,Minowabashi
MinumadaiShinsuikoen,見沼代親水公園,Minumadai-shinsuikoen
Miraidaira,みらい平,Miraidaira
Misakiguchi,三崎口,Misakiguchi
Misato,三郷,Misato
MisatoChuo,三郷中央,Misato-chūō
Mita,三田,Mita
Mitaka,三鷹,Mitaka
Mitake,御嶽,Mitake
Mito,水戸,Mito
Mitsukoshimae,三越前,Mitsukoshimae
Mitsukyo,三ツ境,Mitsukyo
MitsuzawaKamicho,三ツ沢上町,Mitsuzawa-Kamicho
MitsuzawaShimocho,三ツ沢下町,Mitsuzawa-Shimocho
Miurakaigan,三浦海岸,Miurakaigan
Miyahara,宮原,Miyahara
Miyanohira,宮ノ平,Miyanohira
Miyanomae,宮ノ前,Miyanomae
Miyayama,宮山,Miyayama
Mizue,瑞江,Mizue
Mobara,茂原,Mobara
Momouchi,桃内,Momouchi
Monoi,物井,Monoi
MonorailHamamatsucho,モノレール浜松町,Monorail Hamamatsuchō
MonzenNakacho,門前仲町,Monzen-nakacho
Morishita,森下,Morishita
Moriya,守谷,Moriya
Moro,毛呂,Moro
Motohasunuma,本蓮沼,Motohasunuma
MotomachiChukagai,元町・中華街,Motomachi-Chukagai
Motosumiyoshi,元住吉,Motosumiyoshi
MotoYawata,本八幡,Moto-Yawata
Motoyawata,本八幡,Motoyawata
Mukaigawara,向河原,Mukaigawara
MukogaokaYuen,向ヶ丘遊園,Mūkogaoka-Yūen
Mukohara,向原,Mukohara
MusashiHikida,武蔵引田,Musashi-Hikida
MusashiItsukaichi,武蔵五日市,Musashi-Itsukaichi
MusashiKoganei,武蔵小金井,Musashi-Koganei
MusashiKosugi,武蔵小杉,Musashi-Kosugi
MusashiMasuko,武蔵増戸,Musashi-Masuko
MusashiMizonokuchi,武蔵溝ノ口,Musashi-Mizonokuchi
MusashiNakahara,武蔵中原,Musashi-Nakahara
MusashiSakai,武蔵境,Musashi-Sakai
MusashiShinjo,武蔵新城,Musashi-Shinjo
MusashiShiraishi,武蔵白石,Musashi-Shiraishi
MusashiTakahagi,武蔵高萩,Musashi-Takahagi
MusashiUrawa,武蔵浦和,Musashi-Urawa
Mutsuura,六浦,Mutsuura
Myoden,妙典,Myoden
Myogadani,茗荷谷,Myogadani
Myokaku,明覚,Myokaku
Nagamachi,長町,Nagamachi
Naganoharakusatsuguchi,長野原草津口,Naganohara-Kusatsuguchi
NagareyamaCentralPark,流山セントラルパーク,Nagareyama-centralpark
NagareyamaOtakanomori,流山おおたかの森,Nagareyama-ōtakanomori
Nagata,永田,Nagata
Nagatacho,永田町,Nagatacho
Nagatsuta,長津田,Nagatsuta
Nagaura,長浦,Nagaura
Nakada,中田,Nakada
Nakagami,中神,Nakagami
Nakagawa,中川,Nakagawa
Nakai,中井,Nakai
Nakamachidai,仲町台,Nakamachidai
NakaMeguro,中目黒,Naka-meguro
Nakano,中野,Nakano
Nakanobu,中延,Nakanobu
NakanoFujimicho,中野富士見町,Nakano-fujimicho
NakanoSakaue,中野坂上,Nakano-sakaue
Nakanoshima,中野島,Nakanoshima
NakanoShimbashi,中野新橋,Nakano-Shimbashi
NakaOkachimachi,仲御徒町,Naka-okachimachi
NakaUrawa,中浦和,Naka-Urawa
Nakayama,中山,Nakayama
Nakofunakata,那古船形,Nakofunakata
Nakoso,勿来,Nakoso
Namamugi,生麦,Namamugi
Namegawa,滑河,Namegawa
NamegawaIsland,行川アイランド,Namegawa Island
Namie,浪江,Namie
Namihana,浪花,Namihana
Narita,成田,Narita
NaritaAirportTerminal1,成田空港,Narita Airport Terminal 1
NaritaAirportTerminal2and3,空港第２ビル,Narita Airport Terminal 2 and 3
Naruse,成瀬,Naruse
Naruto,成東,Naruto
Nasushiobara,那須塩原,Nasushiobara
Natori,名取,Natori
Nebukawa,根府川,Nebukawa
Negishi,根岸,Negishi
Nerima,練馬,Nerima
NerimaKasugacho,練馬春日町,Nerima-kasugacho
Nezu,根津,Nezu
Nihombashi,日本橋,Nihombashi
Nihonbashi,Nihonbashi,Nihonbashi
Niiza,新座,Niiza
Nijubashimae,二重橋前〈丸の内〉,Nijubashimae<Marunouchi>
Nikko,日光,Nikkō
Ningyocho,人形町,Ningyocho
Ninomiya,二宮,Ninomiya
Nippa,新羽,Nippa
Nippori,日暮里,Nippori
NishiaraidaishiNishi,西新井大師西,Nishiaraidaishi-nishi
NishiChiba,西千葉,Nishi-Chiba
Nishidai,西台,Nishidai
Nishifu,西府,Nishifu
NishiFunabashi,西船橋,Nishi-funabashi
Nishigahara,西ケ原,Nishigahara
NishigaharaYonchome,西ヶ原四丁目,Nishigahara-yonchome
NishiHachioji,西八王子,Nishi-Hachioji
NishiKasai,西葛西,Nishi-kasai
NishiKawagoe,西川越,Nishi-Kawagoe
NishiKawaguchi,西川口,Nishi-Kawaguchi
NishiKokubunji,西国分寺,Nishi-Kokubunji
NishiKunitachi,西国立,Nishi-Kunitachi
NishiMagome,西馬込,Nishi-magome
NishiNasuno,西那須野,Nishi-Nasuno
NishiNippori,西日暮里,Nishi-nippori
NishiOgikubo,西荻窪,Nishi-Ogikubo
NishiOi,西大井,Nishi-Oi
NishiOjima,西大島,Nishi-ojima
NishiOmiya,西大宮,Nishi-Omiya
NishiShinjuku,西新宿,Nishi-shinjuku
NishiShinjukuGochome,西新宿五丁目,Nishi-shinjuku-gochome
NishiSugamo,西巣鴨,Nishi-sugamo
NishiTachikawa,西立川,Nishi-Tachikawa
NishiTakashimadaira,西高島平,Nishi-takashimadaira
NishiUrawa,西浦和,Nishi-Urawa
NishiWaseda,西早稲田,Nishi-waseda
Nishiya,西谷,Nishiya
NishiYokohama,西横浜,Nishi-Yokohama
Nisshin,日進,Nisshin
Nittaki,日立木,Nittaki
Noborito,登戸,Noborito
Nobukata,延方,Nobukata
Nogi,野木,Nogi
Nogizaka,乃木坂,Nogizaka
Nokendai,能見台,Nōkendai
Nozaki,野崎,Nozaki
Numazu,沼津,Numazu
Oami,大網,Oami
Obitsu,小櫃,Obitsu
Ochanomizu,御茶ノ水,Ochanomizu
Ochiai,落合,Ochiai
OchiaiMinamiNagasaki,落合南長崎,Ochiai-minami-nagasaki
Odai,小台,Odai
Odaka,小高,Odaka
Odasakae,小田栄,Odasakae
Odawara,小田原,Odawara
Odoriba,踊場,Odoriba
Ofuna,大船,Ofuna
Ogawamachi,小川町,Ogawamachi
Ogikubo,荻窪,Ogikubo
Ogimachi,扇町,Ogimachi
OgiOhashi,扇大橋,Ogi-ohashi
Ogitsu,小木津,Ogitsu
Ogose,越生,Ogose
Oguchi,大口,Oguchi
Ohara,大原,Ohara
OiKeibajoMae,大井競馬場前,Ōi Keibajō Mae
Oimachi,大井町,Oimachi
Oiso,大磯,Oiso
Oji,王子,Oji
OjiEkimae,王子駅前,Oji-ekimae
OjiKamiya,王子神谷,Oji-kamiya
Ojima,大島,Ojima
Okabe,岡部,Okabe
Okachimachi,御徒町,Okachimachi
Okamoto,岡本,Okamoto
Okawa,大川,Okawa
Okegawa,桶川,Okegawa
Oku,尾久,Oku
